BioSample	GenBank
SAMN07298790	GCA_009364755.1_PDT000224296.2
SAMN07341200	GCA_009365875.1_PDT000224398.2
SAMN07341695	GCA_009366075.1_PDT000224418.2
SAMN07341702	GCA_009366195.1_PDT000224423.2
SAMN07370420	GCA_009369535.1_PDT000225608.2
SAMN07370411	GCA_009369755.1_PDT000225635.2
SAMN07375270	GCA_009370235.1_PDT000226010.2
SAMN07409783	GCA_009371115.1_PDT000226433.2
SAMN07409784	GCA_009371225.1_PDT000226484.2
SAMN07375303	GCA_009373315.1_PDT000226039.2
SAMN13112795	GCA_009381975.1_PDT000617872.1
SAMN07418885	GCA_009398425.1_PDT000227390.2
SAMN07409524	GCA_009398785.1_PDT000227601.2
SAMN07418918	GCA_009398985.1_PDT000227413.2
SAMN13148871	GCA_009409985.1_PDT000619271.1
SAMN07449837	GCA_009433495.1_PDT000231362.2
SAMN07449815	GCA_009433715.1_PDT000231337.2
SAMN07449827	GCA_009433755.1_PDT000231352.2
SAMN07449831	GCA_009433775.1_PDT000231349.2
SAMN07449821	GCA_009433815.1_PDT000231335.2
SAMN07449835	GCA_009433945.1_PDT000231356.2
SAMN07449840	GCA_009433975.1_PDT000231357.2
SAMN07449819	GCA_009434265.1_PDT000231345.2
SAMN07498533	GCA_009439555.1_PDT000232818.2
SAMN07498534	GCA_009440095.1_PDT000232820.2
SAMN07498546	GCA_009465025.1_PDT000232831.2
SAMN07490563	GCA_009465565.1_PDT000233528.2
SAMN07505000	GCA_009470915.1_PDT000234848.2
SAMN07569124	GCA_009492965.1_PDT000237935.2
SAMN07573678	GCA_009502435.1_PDT000239703.2
SAMN07682207	GCA_009508035.1_PDT000244419.2
SAMN08016196	GCA_009526555.1_PDT000265013.2
SAMN07694681	GCA_009553195.1_PDT000244539.2
SAMN07966371	GCA_009572985.1_PDT000263790.2
SAMN07982487	GCA_009573465.1_PDT000265048.2
SAMN08136500	GCA_009581125.1_PDT000269893.2
SAMN08134051	GCA_009581345.1_PDT000269960.2
SAMN08213490	GCA_009594245.1_PDT000274268.2
SAMN13693725	GCA_010011965.1_PDT000651365.1
SAMN13869638	GCA_010013605.1_PDT000663804.1
SAMN13869816	GCA_010013645.1_PDT000663834.1
SAMN13927236	GCA_010014205.1_PDT000671091.1
SAMN13920443	GCA_010014325.1_PDT000669493.1
SAMN07966372	GCA_010126405.1_PDT000263799.2
SAMN07982594	GCA_010127465.1_PDT000264045.2
SAMN08153039	GCA_010131955.1_PDT000271185.2
SAMN08289227	GCA_010134835.1_PDT000275499.2
SAMN08289209	GCA_010134855.1_PDT000275496.2
SAMN08289229	GCA_010134915.1_PDT000275500.2
SAMN08289249	GCA_010134955.1_PDT000275520.2
SAMN08376888	GCA_010164525.1_PDT000278927.2
SAMN08376478	GCA_010164675.1_PDT000278888.2
SAMN08376995	GCA_010173715.1_PDT000279021.2
SAMN08376961	GCA_010174105.1_PDT000278990.2
SAMN08376975	GCA_010174135.1_PDT000278991.2
SAMN08376973	GCA_010174175.1_PDT000278992.2
SAMN08379344	GCA_010175195.1_PDT000279330.2
SAMN08379423	GCA_010175535.1_PDT000279424.2
SAMN08379490	GCA_010175735.1_PDT000279453.2
SAMN08383647	GCA_010175935.1_PDT000280509.2
SAMN08383654	GCA_010176625.1_PDT000280514.2
SAMN08389635	GCA_010176735.1_PDT000281696.2
SAMN08385861	GCA_010176835.1_PDT000280949.2
SAMN08385871	GCA_010176895.1_PDT000280956.2
SAMN08437181	GCA_010176915.1_PDT000282661.2
SAMN08385718	GCA_010177775.1_PDT000280874.2
SAMN08389591	GCA_010178155.1_PDT000281677.2
SAMN08389641	GCA_010178175.1_PDT000281685.2
SAMN13812659	GCA_010387905.1_PDT000658720.1
SAMN13842431	GCA_010388725.1_PDT000662015.1
SAMN13840639	GCA_010388975.1_PDT000660836.1
SAMN13514267	GCA_010402575.1_PDT000641852.1
SAMN13686308	GCA_010404675.1_PDT000650780.1
SAMN13686304	GCA_010419945.1_PDT000650778.1
SAMN13488556	GCA_010435655.1_PDT000640146.1
SAMN13514214	GCA_010436495.1_PDT000641800.1
SAMN13514209	GCA_010436995.1_PDT000641802.1
SAMN13510399	GCA_010443415.1_PDT000641490.1
SAMN13691335	GCA_010446075.1_PDT000651273.1
SAMN13691125	GCA_010449415.1_PDT000650966.1
SAMN13675606	GCA_010449585.1_PDT000649839.1
SAMN13691121	GCA_010449795.1_PDT000650954.1
SAMN13693723	GCA_010450035.1_PDT000651366.1
SAMN13686388	GCA_010450535.1_PDT000650795.1
SAMN13810779	GCA_010450675.1_PDT000658576.1
SAMN13514307	GCA_010458735.1_PDT000641856.1
SAMN13795875	GCA_010462165.1_PDT000657028.1
SAMN13693798	GCA_010465125.1_PDT000651325.1
SAMN13840826	GCA_010465625.1_PDT000660864.1
SAMN13747558	GCA_010466005.1_PDT000655959.1
SAMN13840590	GCA_010466105.1_PDT000660795.1
SAMN13810678	GCA_010468065.1_PDT000658569.1
SAMN13693762	GCA_010468685.1_PDT000651381.1
SAMN13477345	GCA_010477245.1_PDT000639765.1
SAMN13691024	GCA_010478305.1_PDT000650913.1
SAMN13486180	GCA_010479875.1_PDT000640139.1
SAMN13684536	GCA_010480315.1_PDT000650546.1
SAMN13686398	GCA_010480705.1_PDT000650793.1
SAMN13686794	GCA_010483235.1_PDT000650806.1
SAMN13691343	GCA_010483455.1_PDT000651279.1
SAMN13747553	GCA_010484235.1_PDT000655962.1
SAMN13838187	GCA_010484615.1_PDT000660515.1
SAMN13510347	GCA_010487195.1_PDT000641482.1
SAMN13812514	GCA_010488355.1_PDT000658704.1
SAMN13708257	GCA_010490055.1_PDT000652731.1
SAMN13812518	GCA_010490075.1_PDT000658712.1
SAMN13691336	GCA_010490455.1_PDT000651275.1
SAMN08956026	GCA_010496735.1_PDT000307350.2
SAMN13510352	GCA_010517335.1_PDT000641479.1
SAMN13486182	GCA_010519235.1_PDT000640137.1
SAMN13510328	GCA_010523675.1_PDT000641477.1
SAMN13691113	GCA_010524535.1_PDT000650958.1
SAMN13840591	GCA_010525875.1_PDT000660793.1
SAMN13693803	GCA_010531775.1_PDT000651327.1
SAMN13747542	GCA_010534495.1_PDT000655953.1
SAMN13810784	GCA_010535215.1_PDT000658578.1
SAMN13488563	GCA_010570485.1_PDT000640152.1
SAMN13510379	GCA_010571865.1_PDT000641484.1
SAMN13840507	GCA_010612165.1_PDT000660783.1
SAMN13840837	GCA_010616245.1_PDT000660876.1
SAMN13841751	GCA_010632345.1_PDT000661884.1
SAMN13747541	GCA_010706575.1_PDT000655958.1
SAMN13747554	GCA_010706755.1_PDT000655963.1
SAMN13822063	GCA_010707515.1_PDT000658932.1
SAMN13831949	GCA_010708305.1_PDT000660079.1
SAMN13840608	GCA_010708655.1_PDT000660807.1
SAMN13840510	GCA_010709335.1_PDT000660782.1
SAMN13810250	GCA_010710315.1_PDT000657120.1
SAMN13825810	GCA_010721735.1_PDT000659190.1
SAMN13810680	GCA_010729975.1_PDT000658568.1
SAMN13810782	GCA_010730535.1_PDT000658577.1
SAMN13812519	GCA_010730635.1_PDT000658711.1
SAMN13812656	GCA_010730765.1_PDT000658713.1
SAMN13747557	GCA_010741675.1_PDT000655961.1
SAMN13708028	GCA_010746715.1_PDT000652694.1
SAMN07281072	GCA_010770735.1_PDT000221162.2
SAMN13686524	GCA_010791415.1_PDT000650798.1
SAMN13686911	GCA_010791495.1_PDT000650815.1
SAMN13691101	GCA_010791635.1_PDT000650940.1
SAMN13691332	GCA_010791675.1_PDT000651276.1
SAMN13488558	GCA_010798535.1_PDT000640147.1
SAMN13812496	GCA_010799885.1_PDT000658690.1
SAMN13691333	GCA_010800795.1_PDT000651274.1
SAMN13810780	GCA_010804725.1_PDT000658574.1
SAMN13812513	GCA_010805105.1_PDT000658709.1
SAMN13693780	GCA_010807725.1_PDT000651304.1
SAMN13691126	GCA_010808165.1_PDT000650964.1
SAMN13686898	GCA_010808225.1_PDT000650811.1
SAMN13840496	GCA_010809785.1_PDT000660778.1
SAMN13840511	GCA_010809905.1_PDT000660788.1
SAMN13477344	GCA_010811215.1_PDT000639766.1
SAMN13839668	GCA_010811275.1_PDT000660699.1
SAMN13839708	GCA_010812345.1_PDT000660704.1
SAMN13840822	GCA_010816245.1_PDT000660861.1
SAMN13840619	GCA_010816785.1_PDT000660821.1
SAMN13840831	GCA_010816885.1_PDT000660871.1
SAMN13535956	GCA_010819565.1_PDT000643289.1
SAMN13510345	GCA_010821565.1_PDT000641481.1
SAMN13510321	GCA_010822025.1_PDT000641476.1
SAMN13510324	GCA_010823805.1_PDT000641478.1
SAMN13488561	GCA_010826905.1_PDT000640151.1
SAMN13514313	GCA_010829405.1_PDT000641861.1
SAMN13488566	GCA_010830425.1_PDT000640155.1
SAMN13869821	GCA_010832345.1_PDT000663838.1
SAMN13866792	GCA_010832585.1_PDT000663641.1
SAMN13867354	GCA_010832785.1_PDT000663685.1
SAMN13488206	GCA_010834625.1_PDT000640142.1
SAMN13488565	GCA_010835425.1_PDT000640157.1
SAMN13488559	GCA_010835805.1_PDT000640145.1
SAMN13672720	GCA_010837625.1_PDT000649584.1
SAMN13526607	GCA_010837825.1_PDT000643082.1
SAMN13510376	GCA_010840265.1_PDT000641487.1
SAMN13866457	GCA_010841385.1_PDT000663444.1
SAMN13867356	GCA_010841795.1_PDT000663807.1
SAMN13866090	GCA_010841865.1_PDT000663431.1
SAMN13526712	GCA_010843125.1_PDT000642371.1
SAMN13866087	GCA_010847565.1_PDT000663434.1
SAMN13477367	GCA_010852105.1_PDT000639768.1
SAMN13691334	GCA_010854765.1_PDT000651278.1
SAMN13691110	GCA_010855105.1_PDT000650959.1
SAMN13693770	GCA_010855385.1_PDT000651298.1
SAMN13686665	GCA_010859105.1_PDT000650802.1
SAMN13691020	GCA_010859305.1_PDT000650914.1
SAMN13686785	GCA_010859645.1_PDT000650807.1
SAMN13691016	GCA_010861525.1_PDT000650916.1
SAMN13510393	GCA_010864085.1_PDT000641483.1
SAMN08524558	GCA_010882875.1_PDT000286945.2
SAMN13207261	GCA_010899415.1_PDT000624167.1
SAMN13556413	GCA_010911855.1_PDT000644333.1
SAMN13208481	GCA_010941755.1_PDT000624287.1
SAMN13221513	GCA_010949135.1_PDT000624753.1
SAMN13510398	GCA_010970455.1_PDT000641489.1
SAMN06640205	GCA_011115675.1_PDT000198121.2
SAMN08395825	GCA_011129415.1_PDT000282517.2
SAMN08524606	GCA_011131775.1_PDT000286987.2
SAMN08471040	GCA_011137615.1_PDT000285217.2
SAMN08773553	GCA_011139215.1_PDT000296906.2
SAMN08773579	GCA_011139275.1_PDT000296916.2
SAMN09081672	GCA_011158715.1_PDT000312002.2
SAMN08865550	GCA_011162175.1_PDT000303380.2
SAMN13352894	GCA_011186455.1_PDT000634391.1
SAMN12582992	GCA_011189835.1_PDT000564834.1
SAMN13691097	GCA_011193115.1_PDT000650937.1
SAMN13920855	GCA_011199155.1_PDT000669572.1
SAMN13924672	GCA_011199375.1_PDT000669767.1
SAMN13810253	GCA_011199875.1_PDT000657121.1
SAMN13693796	GCA_011200175.1_PDT000651321.1
SAMN13920814	GCA_011201335.1_PDT000669557.1
SAMN13920365	GCA_011201475.1_PDT000669451.1
SAMN13916631	GCA_011201815.1_PDT000669322.1
SAMN13916645	GCA_011202115.1_PDT000669337.1
SAMN13918755	GCA_011202215.1_PDT000669396.1
SAMN13927199	GCA_011202835.1_PDT000671086.1
SAMN13927198	GCA_011203135.1_PDT000671081.1
SAMN13924670	GCA_011203215.1_PDT000669762.1
SAMN13929439	GCA_011204975.1_PDT000671331.1
SAMN13929793	GCA_011205015.1_PDT000671404.1
SAMN13929947	GCA_011205035.1_PDT000671421.1
SAMN13930079	GCA_011206595.1_PDT000671504.1
SAMN13948593	GCA_011209365.1_PDT000672878.1
SAMN13871628	GCA_011210615.1_PDT000664120.1
SAMN13873489	GCA_011211525.1_PDT000664248.1
SAMN13876607	GCA_011212425.1_PDT000664483.1
SAMN13917041	GCA_011215505.1_PDT000669365.1
SAMN13916684	GCA_011215705.1_PDT000669349.1
SAMN13927195	GCA_011218925.1_PDT000671085.1
SAMN13910387	GCA_011218945.1_PDT000669142.1
SAMN13916807	GCA_011219095.1_PDT000669355.1
SAMN13924667	GCA_011219385.1_PDT000669761.1
SAMN13930195	GCA_011219425.1_PDT000671524.1
SAMN13920776	GCA_011219865.1_PDT000669545.1
SAMN13920851	GCA_011219965.1_PDT000669569.1
SAMN13929934	GCA_011220325.1_PDT000671414.1
SAMN13975377	GCA_011227245.1_PDT000677070.1
SAMN13956085	GCA_011230075.1_PDT000673636.1
SAMN13956053	GCA_011233075.1_PDT000673643.1
SAMN13956079	GCA_011233135.1_PDT000673638.1
SAMN13956058	GCA_011233215.1_PDT000673386.1
SAMN13979586	GCA_011233995.1_PDT000677600.1
SAMN13948580	GCA_011235835.1_PDT000672864.1
SAMN13946280	GCA_011237675.1_PDT000672744.1
SAMN13935714	GCA_011245435.1_PDT000671751.1
SAMN14056240	GCA_011247095.1_PDT000679504.1
SAMN13390189	GCA_011257555.1_PDT000636669.1
SAMN13929964	GCA_011266195.1_PDT000671457.1
SAMN13930138	GCA_011266345.1_PDT000671517.1
SAMN13876608	GCA_011266945.1_PDT000664485.1
SAMN13874052	GCA_011267225.1_PDT000664279.1
SAMN13916935	GCA_011268645.1_PDT000669362.1
SAMN13924668	GCA_011268655.1_PDT000669765.1
SAMN13920777	GCA_011269505.1_PDT000669544.1
SAMN13920842	GCA_011269515.1_PDT000669562.1
SAMN13924678	GCA_011269605.1_PDT000669773.1
SAMN13916653	GCA_011269765.1_PDT000669345.1
SAMN13924692	GCA_011270415.1_PDT000669789.1
SAMN13924690	GCA_011270645.1_PDT000669786.1
SAMN13920812	GCA_011273205.1_PDT000669556.1
SAMN13929977	GCA_011273525.1_PDT000671468.1
SAMN13930098	GCA_011273565.1_PDT000671507.1
SAMN13956073	GCA_011275605.1_PDT000673641.1
SAMN13956063	GCA_011275965.1_PDT000673639.1
SAMN13956080	GCA_011276305.1_PDT000673635.1
SAMN14088139	GCA_011276705.1_PDT000682914.1
SAMN13947683	GCA_011276745.1_PDT000672870.1
SAMN13955905	GCA_011282585.1_PDT000673650.1
SAMN13916797	GCA_011309055.1_PDT000669356.1
SAMN13920782	GCA_011309795.1_PDT000669548.1
SAMN13920369	GCA_011310215.1_PDT000669476.1
SAMN13920849	GCA_011310635.1_PDT000669567.1
SAMN13920785	GCA_011310675.1_PDT000669552.1
SAMN13920843	GCA_011310755.1_PDT000669561.1
SAMN13920847	GCA_011311595.1_PDT000669566.1
SAMN13446763	GCA_011320915.1_PDT000638842.1
SAMN13936502	GCA_011336385.1_PDT000671842.1
SAMN13956055	GCA_011341065.1_PDT000673385.2
SAMN13947615	GCA_011341305.1_PDT000672755.1
SAMN13956078	GCA_011341505.1_PDT000673381.2
SAMN13956081	GCA_011341525.1_PDT000673382.2
SAMN13956084	GCA_011341565.1_PDT000673378.2
SAMN13955906	GCA_011341605.1_PDT000673384.1
SAMN13956083	GCA_011341645.1_PDT000673388.1
SAMN13956076	GCA_011341825.1_PDT000673637.1
SAMN14052580	GCA_011344685.1_PDT000679434.1
SAMN13947622	GCA_011353125.1_PDT000672822.1
SAMN13948591	GCA_011354705.1_PDT000672879.1
SAMN13927194	GCA_011357145.1_PDT000671082.1
SAMN13929978	GCA_011361685.1_PDT000671464.1
SAMN13840646	GCA_011363445.1_PDT000660844.1
SAMN13871631	GCA_011368765.1_PDT000664123.1
SAMN07281075	GCA_011400555.1_PDT000221170.2
SAMN13649807	GCA_011402175.1_PDT000648874.1
SAMN13691028	GCA_011404415.1_PDT000650915.1
SAMN13693776	GCA_011405435.1_PDT000651301.1
SAMN13708929	GCA_011405695.1_PDT000653082.1
SAMN13560646	GCA_011426765.1_PDT000644491.1
SAMN13510389	GCA_011427045.1_PDT000641486.1
SAMN13510386	GCA_011428245.1_PDT000641488.1
SAMN13613825	GCA_011429475.1_PDT000646777.1
SAMN13488564	GCA_011430355.1_PDT000640156.1
SAMN13686789	GCA_011430375.1_PDT000650808.1
SAMN13812654	GCA_011432055.1_PDT000658716.1
SAMN13477374	GCA_011433695.1_PDT000639771.1
SAMN13558995	GCA_011436355.1_PDT000644410.1
SAMN13691032	GCA_011439275.1_PDT000650917.1
SAMN13659086	GCA_011440755.1_PDT000649173.1
SAMN13812660	GCA_011443075.1_PDT000658718.1
SAMN13389793	GCA_011475135.1_PDT000636580.1
SAMN14079042	GCA_011489225.1_PDT000682138.1
SAMN14084304	GCA_011493985.1_PDT000682584.1
SAMN14315870	GCA_011498585.1_PDT000706325.1
SAMN14343704	GCA_011510545.1_PDT000708074.1
SAMN08330782	GCA_011518885.1_PDT000282120.2
SAMN13264977	GCA_011532845.1_PDT000627107.1
SAMN13321230	GCA_011571345.1_PDT000630123.1
SAMN08567863	GCA_011574245.1_PDT000288181.2
SAMN13344359	GCA_011583205.1_PDT000632208.1
SAMN13221324	GCA_011623685.1_PDT000624713.1
SAMN14205979	GCA_011658475.1_PDT000690437.1
SAMN08644548	GCA_011663535.1_PDT000293047.2
SAMN14234229	GCA_011685095.1_PDT000691421.1
SAMN14206742	GCA_011693255.1_PDT000690508.1
SAMN14214428	GCA_011703755.1_PDT000691079.1
SAMN14371232	GCA_011705235.1_PDT000708807.1
SAMN14375430	GCA_011711335.1_PDT000708925.1
SAMN14406975	GCA_011717575.1_PDT000710678.1
SAMN14414781	GCA_011731815.1_PDT000710856.1
SAMN14382719	GCA_011749305.1_PDT000709562.1
SAMN14506519	GCA_011990225.1_PDT000718038.1
SAMN14486522	GCA_012005365.1_PDT000717118.1
SAMN14546260	GCA_012152625.1_PDT000720346.1
SAMN14550056	GCA_012167625.1_PDT000720648.1
SAMN15594971	GCA_013478865.1_PDT000794130.1
SAMN15470444	GCA_013508615.1_PDT000784177.1
SAMN15469633	GCA_013509255.1_PDT000784143.1
SAMN15469606	GCA_013509375.1_PDT000784139.1
SAMN15468602	GCA_013510495.1_PDT000784090.1
SAMN15514474	GCA_013513475.1_PDT000786753.1
SAMN15507174	GCA_013516795.1_PDT000785737.1
SAMN15518540	GCA_013525775.1_PDT000787183.1
SAMN15573445	GCA_013547375.1_PDT000789936.1
SAMN15572310	GCA_013547455.1_PDT000789913.1
SAMN15572321	GCA_013548075.1_PDT000789857.1
SAMN15565564	GCA_013586475.1_PDT000789364.1
SAMN15627499	GCA_013612475.1_PDT000795523.1
SAMN15404563	GCA_013617685.1_PDT000774179.1
SAMN15371620	GCA_013657115.1_PDT000771564.1
SAMN15351993	GCA_013664755.1_PDT000770784.1
SAMN15317833	GCA_013681075.1_PDT000768563.1
SAMN15248533	GCA_013707555.1_PDT000767055.1
SAMN15199055	GCA_013733785.1_PDT000762770.1
SAMN15649773	GCA_013754775.1_PDT000797072.1
SAMN15075884	GCA_013773905.1_PDT000753899.1
SAMN15658048	GCA_013789865.1_PDT000797548.1
SAMN15040055	GCA_013804345.1_PDT000748046.1
SAMN15672657	GCA_013915985.1_PDT000798820.1
SAMN15728686	GCA_014067415.1_PDT000802000.1
SAMN15746978	GCA_014091955.1_PDT000803542.1
SAMN15773528	GCA_014131855.1_PDT000806087.1
SAMN15773506	GCA_014131875.1_PDT000806085.1
SAMN15774973	GCA_014137165.1_PDT000806452.1
SAMN15801370	GCA_014180045.1_PDT000807723.1
SAMN15813408	GCA_014184025.1_PDT000809317.1
SAMN15845944	GCA_014250275.1_PDT000814531.1
SAMN15857494	GCA_014255955.1_PDT000816263.1
SAMN15878515	GCA_014276645.1_PDT000817590.1
SAMN15878514	GCA_014277105.1_PDT000817580.1
SAMN15900725	GCA_014296285.1_PDT000820481.1
SAMN15948853	GCA_014339855.1_PDT000826855.1
SAMN15932185	GCA_014358725.1_PDT000822975.1
SAMN15969347	GCA_014454235.1_PDT000828398.1
SAMN15968978	GCA_014455775.1_PDT000828334.1
SAMN15969074	GCA_014455995.1_PDT000828309.1
SAMN15967357	GCA_014457495.1_PDT000828160.1
SAMN16051444	GCA_014483175.1_PDT000829112.1
SAMN16062908	GCA_014487835.1_PDT000829879.1
SAMN16082645	GCA_014501325.1_PDT000831760.1
SAMN16081999	GCA_014502225.1_PDT000831705.1
SAMN16063481	GCA_014513145.1_PDT000829962.1
SAMN16091383	GCA_014519585.1_PDT000833709.1
SAMN16090688	GCA_014519705.1_PDT000833578.1
SAMN16112597	GCA_014548265.1_PDT000834785.1
SAMN14829438	GCA_014563915.1_PDT000730413.1
SAMN14644755	GCA_014588775.1_PDT000724355.1
SAMN16124980	GCA_014603975.1_PDT000836732.1
SAMN16134480	GCA_014605335.1_PDT000836582.1
SAMN16234269	GCA_014678965.1_PDT000841589.1
SAMN16234265	GCA_014679345.1_PDT000841564.1
SAMN16238897	GCA_014705025.1_PDT000842165.1
SAMN16245968	GCA_014706675.1_PDT000843205.1
SAMN16283637	GCA_014782435.1_PDT000849586.1
SAMN16319682	GCA_014886435.1_PDT000851116.1
SAMN16421420	GCA_014912465.1_PDT000860018.1
SAMN16517345	GCA_014924335.1_PDT000864766.1
SAMN16442171	GCA_014934845.1_PDT000861946.1
SAMN16451247	GCA_014936985.1_PDT000863822.1
SAMN16451843	GCA_014938525.1_PDT000862743.1
SAMN16494921	GCA_014989085.1_PDT000864123.1
SAMN16486583	GCA_014996745.1_PDT000863970.1
SAMN16562697	GCA_015023635.1_PDT000868849.1
SAMN16563372	GCA_015025415.1_PDT000869213.1
SAMN16563713	GCA_015026995.1_PDT000869278.1
SAMN16576018	GCA_015027615.1_PDT000869990.1
SAMN16582022	GCA_015076605.1_PDT000870664.1
SAMN16379419	GCA_015093955.1_PDT000856018.1
SAMN16373821	GCA_015114455.1_PDT000855472.1
SAMN16366731	GCA_015115755.1_PDT000855402.1
SAMN16588757	GCA_015120465.1_PDT000871647.1
SAMN16589005	GCA_015120745.1_PDT000871729.1
SAMN16589008	GCA_015124815.1_PDT000871732.1
SAMN16605824	GCA_015179945.1_PDT000873528.1
SAMN16352302	GCA_015184685.1_PDT000853452.1
SAMN16351463	GCA_015187725.1_PDT000853295.1
SAMN16331708	GCA_015194395.1_PDT000851979.1
SAMN16320212	GCA_015201825.1_PDT000851349.1
SAMN16319970	GCA_015205435.1_PDT000851200.1
SAMN16709358	GCA_015311475.1_PDT000883761.1
SAMN16729844	GCA_015371965.1_PDT000888259.1
SAMN16728019	GCA_015378645.1_PDT000888077.1
SAMN16776535	GCA_015443565.1_PDT000888759.1
SAMN16776047	GCA_015443905.1_PDT000888728.1
SAMN16823621	GCA_015562125.1_PDT000892413.1
SAMN16846021	GCA_015642845.1_PDT000894007.1
SAMN16874542	GCA_015687935.1_PDT000897265.1
SAMN16947101	GCA_015696425.1_PDT000899698.1
SAMN16947077	GCA_015696585.1_PDT000899689.1
SAMN17015242	GCA_015840475.1_PDT000905359.1
SAMN17010058	GCA_015846845.1_PDT000905153.1
SAMN17043289	GCA_015907225.1_PDT000908194.1
SAMN16935319	GCA_015913195.1_PDT000899006.1
SAMN16879395	GCA_015919205.1_PDT000898162.1
SAMN16847825	GCA_015955625.1_PDT000894592.1
SAMN16847831	GCA_015955965.1_PDT000894624.1
SAMN16689224	GCA_016120335.1_PDT000881778.1
SAMN17082770	GCA_016144095.1_PDT000917696.1
SAMN16451958	GCA_016153455.1_PDT000862906.1
SAMN16416225	GCA_016155035.1_PDT000859894.1
SAMN15813275	GCA_016161535.1_PDT000809302.1
SAMN15357937	GCA_016167915.1_PDT000771211.1
SAMN15297627	GCA_016168265.1_PDT000767852.1
SAMN14933828	GCA_016172625.1_PDT000736019.1
SAMN14790085	GCA_016173325.1_PDT000729736.1
SAMN14343145	GCA_016189335.1_PDT000707993.1
SAMN13615460	GCA_016217305.1_PDT000646835.1
SAMN13685009	GCA_016222685.1_PDT000650709.1
SAMN13332354	GCA_016224145.1_PDT000631007.1
SAMN13513934	GCA_016232645.1_PDT000641736.1
SAMN12609944	GCA_016253315.1_PDT000569547.1
SAMN12561603	GCA_016255185.1_PDT000562680.1
SAMN11875804	GCA_016262505.1_PDT000509323.1
SAMN12036078	GCA_016262905.1_PDT000521384.1
SAMN11998926	GCA_016263445.1_PDT000520156.1
SAMN11939420	GCA_016263965.1_PDT000517757.1
SAMN11391761	GCA_016268645.1_PDT000488085.1
SAMN11360225	GCA_016269025.1_PDT000487259.1
SAMN10685146	GCA_016276525.1_PDT000429102.1
SAMN10644376	GCA_016276765.1_PDT000423046.1
SAMN10616589	GCA_016277505.1_PDT000420831.1
SAMN10396266	GCA_016289835.1_PDT000405018.1
SAMN10241133	GCA_016300485.1_PDT000391315.1
SAMN10102349	GCA_016301615.1_PDT000382734.1
SAMN10096113	GCA_016301685.1_PDT000382072.1
SAMN10088598	GCA_016303925.1_PDT000380746.1
SAMN09981091	GCA_016304245.1_PDT000372461.1
SAMN10079118	GCA_016306845.1_PDT000379353.1
SAMN09881639	GCA_016315145.1_PDT000366527.1
SAMN09761673	GCA_016317325.1_PDT000357041.1
SAMN08004616	GCA_016319565.1_PDT000264088.2
SAMN07490127	GCA_016320165.1_PDT000233814.2
SAMN17144072	GCA_016333995.1_PDT000922437.1
SAMN05713993	GCA_016336475.1_PDT000147866.2
SAMN07503460	GCA_016344225.1_PDT000234322.2
SAMN08939366	GCA_016354265.1_PDT000306614.2
SAMN08451860	GCA_016357085.1_PDT000284801.2
SAMN08446010	GCA_016357825.1_PDT000283285.2
SAMN08053092	GCA_016359265.1_PDT000266849.2
SAMN08016917	GCA_016359605.1_PDT000265527.3
SAMN07498022	GCA_016362325.1_PDT000232758.2
SAMN07349874	GCA_016363785.1_PDT000225709.2
SAMN07333371	GCA_016364005.1_PDT000224464.2
SAMN07342541	GCA_016364205.1_PDT000225067.2
SAMN07703257	GCA_016365005.1_PDT000245748.2
SAMN07269012	GCA_016365525.1_PDT000221338.2
SAMN07269016	GCA_016365585.1_PDT000220886.2
SAMN09206766	GCA_016372065.1_PDT000314025.2
SAMN05878953	GCA_016373585.1_PDT000152225.2
SAMN09755213	GCA_016374625.1_PDT000356536.1
SAMN09539572	GCA_016380885.1_PDT000340906.1
SAMN09466810	GCA_016381945.1_PDT000333769.1
SAMN09405393	GCA_016383425.1_PDT000329236.1
SAMN17171650	GCA_016442805.1_PDT000925299.1
SAMN17187169	GCA_016450925.1_PDT000926058.1
SAMN07522792	GCA_016576985.1_PDT000234686.2
SAMN17265919	GCA_016606725.1_PDT000930157.1
SAMN17264818	GCA_016607715.1_PDT000930104.1
SAMN17310437	GCA_016638365.1_PDT000932213.1
SAMN17974826	GCA_016992935.1_PDT000967098.1
SAMN17963892	GCA_016995235.1_PDT000966695.1
SAMN17924693	GCA_017007275.1_PDT000966042.1
SAMN17700295	GCA_017184815.1_PDT000943745.1
SAMN17619822	GCA_017190775.1_PDT000943325.1
SAMN17615065	GCA_017199455.1_PDT000942871.1
SAMN17610412	GCA_017201935.1_PDT000942416.1
SAMN17581366	GCA_017219895.1_PDT000941046.1
SAMN17531685	GCA_017226195.1_PDT000940748.1
SAMN17505764	GCA_017235995.1_PDT000939825.1
SAMN17391675	GCA_017250775.1_PDT000938938.1
SAMN18489975	GCA_017589955.1_PDT000990811.1
SAMN18525378	GCA_017611305.1_PDT000992972.1
SAMN18526290	GCA_017663015.1_PDT000993022.1
SAMN18636300	GCA_017818995.1_PDT001000991.1
SAMN18636326	GCA_017819755.1_PDT001001000.1
SAMN18811145	GCA_018111445.1_PDT001009504.1
SAMN18905880	GCA_018200695.1_PDT001015743.1
SAMN19007190	GCA_018275665.1_PDT001018337.1
SAMN19036900	GCA_018301865.1_PDT001021538.1
SAMN19117291	GCA_018483205.1_PDT001024754.1
SAMN19353334	GCA_018534885.1_PDT001048311.1
SAMN19353338	GCA_018536665.1_PDT001048224.1
