BioSample	GenBank
SAMN09604600	GCA_006654905.1_PDT000341675.1
SAMN09689607	GCA_006660045.1_PDT000351372.1
SAMN09724438	GCA_006664165.1_PDT000354008.1
SAMN09724427	GCA_006664185.1_PDT000353992.1
SAMN09764198	GCA_006666745.1_PDT000357398.1
SAMN09941213	GCA_006676665.1_PDT000370972.1
SAMN10037268	GCA_006680465.1_PDT000375287.1
SAMN10061284	GCA_006681185.1_PDT000376825.1
SAMN07489293	GCA_006697705.1_PDT000232677.2
SAMN07508299	GCA_006698125.1_PDT000233564.2
SAMN07508349	GCA_006698195.1_PDT000233606.2
SAMN07735250	GCA_006698745.1_PDT000247244.2
SAMN08445983	GCA_006699845.1_PDT000283260.2
SAMN09237852	GCA_006701445.1_PDT000318441.1
SAMN09294198	GCA_006706125.1_PDT000322279.1
SAMN09399678	GCA_006708265.1_PDT000328541.1
SAMN09430472	GCA_006710985.1_PDT000330187.1
SAMN09724285	GCA_006722665.1_PDT000353990.1
SAMN09739514	GCA_006724145.1_PDT000355426.1
SAMN09744810	GCA_006725025.1_PDT000355983.1
SAMN09848255	GCA_006733045.1_PDT000364354.1
SAMN09934065	GCA_006736445.1_PDT000368279.1
SAMN09933968	GCA_006737145.1_PDT000368200.1
SAMN09933903	GCA_006737565.1_PDT000368120.1
SAMN10037328	GCA_006744005.1_PDT000375359.1
SAMN07280755	GCA_006759105.1_PDT000221118.2
SAMN07604685	GCA_006760385.1_PDT000240159.2
SAMN07498031	GCA_006761685.1_PDT000232757.2
SAMN08437469	GCA_006762665.1_PDT000282795.2
SAMN07716627	GCA_006762785.1_PDT000248119.2
SAMN09545737	GCA_006771745.1_PDT000341046.1
SAMN09650625	GCA_006773875.1_PDT000347211.1
SAMN09501420	GCA_006775925.1_PDT000337842.1
SAMN09519717	GCA_006776185.1_PDT000338883.1
SAMN09703939	GCA_006777385.1_PDT000353274.1
SAMN09755423	GCA_006780805.1_PDT000356568.1
SAMN09785208	GCA_006782185.1_PDT000360236.1
SAMN09843266	GCA_006785505.1_PDT000363683.1
SAMN09466817	GCA_006792735.1_PDT000333774.1
SAMN09604611	GCA_006797185.1_PDT000341703.1
SAMN10037106	GCA_006805605.1_PDT000375127.1
SAMN07508323	GCA_006814605.1_PDT000233585.2
SAMN08445998	GCA_006816125.1_PDT000283271.2
SAMN09754811	GCA_006828685.1_PDT000356467.1
SAMN09788043	GCA_006830765.1_PDT000360718.1
SAMN09941025	GCA_006833485.1_PDT000370813.1
SAMN06236536	GCA_006943125.1_PDT000179295.2
SAMN06236541	GCA_006954965.1_PDT000179298.2
SAMN06708650	GCA_006959785.1_PDT000201561.2
SAMN06842305	GCA_006963825.1_PDT000206758.2
SAMN06891230	GCA_006968265.1_PDT000211423.2
SAMN07172973	GCA_007019725.1_PDT000214816.2
SAMN07298923	GCA_007025965.1_PDT000222489.2
SAMN07375518	GCA_007034875.1_PDT000227049.2
SAMN07415519	GCA_007035255.1_PDT000227186.2
SAMN07419607	GCA_007037465.1_PDT000230299.2
SAMN07424692	GCA_007038545.1_PDT000230423.2
SAMN07450299	GCA_007041185.1_PDT000231406.2
SAMN07489300	GCA_007042725.1_PDT000232683.2
SAMN07498005	GCA_007043085.1_PDT000232737.2
SAMN07450818	GCA_007043365.1_PDT000232464.2
SAMN07508314	GCA_007044325.1_PDT000233588.2
SAMN07508327	GCA_007044985.1_PDT000233598.2
SAMN07508347	GCA_007045025.1_PDT000233602.2
SAMN07516133	GCA_007045885.1_PDT000234096.2
SAMN07518813	GCA_007046125.1_PDT000234129.2
SAMN07518796	GCA_007046165.1_PDT000234124.2
SAMN07518829	GCA_007046365.1_PDT000234140.2
SAMN07551744	GCA_007052525.1_PDT000236157.2
SAMN07551799	GCA_007052905.1_PDT000236168.2
SAMN07554548	GCA_007054285.1_PDT000237428.2
SAMN07594497	GCA_007058605.1_PDT000239964.2
SAMN07687832	GCA_007067245.1_PDT000244364.2
SAMN07735244	GCA_007073065.1_PDT000247242.2
SAMN07735259	GCA_007073785.1_PDT000247251.2
SAMN07736471	GCA_007078025.1_PDT000249455.2
SAMN07719473	GCA_007078245.1_PDT000250431.2
SAMN07782547	GCA_007081325.1_PDT000253235.2
SAMN07842124	GCA_007087725.1_PDT000259977.2
SAMN08200094	GCA_007106065.1_PDT000273589.2
SAMN08326711	GCA_007112745.1_PDT000277635.2
SAMN08773726	GCA_007202195.1_PDT000297011.3
SAMN08376499	GCA_007475965.1_PDT000278892.2
SAMN08379294	GCA_007476465.1_PDT000279289.2
SAMN08379651	GCA_007476625.1_PDT000279531.2
SAMN08385848	GCA_007479625.1_PDT000280931.2
SAMN08399397	GCA_007480175.1_PDT000282833.2
SAMN08437433	GCA_007480205.1_PDT000282774.2
SAMN08446024	GCA_007480445.1_PDT000283293.2
SAMN08446003	GCA_007480505.1_PDT000283282.2
SAMN08772983	GCA_007486285.1_PDT000296504.2
SAMN08773299	GCA_007487285.1_PDT000296711.2
SAMN08385860	GCA_007500485.1_PDT000280951.2
SAMN12167225	GCA_007539975.1_PDT000534696.1
SAMN08379426	GCA_007550955.1_PDT000279431.2
SAMN08370465	GCA_007551595.1_PDT000278692.2
SAMN08379391	GCA_007552055.1_PDT000279393.2
SAMN08379322	GCA_007552275.1_PDT000279295.2
SAMN08379331	GCA_007552355.1_PDT000279321.2
SAMN08379548	GCA_007552595.1_PDT000279525.2
SAMN08389569	GCA_007553835.1_PDT000281664.2
SAMN08445979	GCA_007554735.1_PDT000283248.2
SAMN08446033	GCA_007555415.1_PDT000283296.2
SAMN08445972	GCA_007555455.1_PDT000283256.2
SAMN08446030	GCA_007556035.1_PDT000283295.2
SAMN08616393	GCA_007560345.1_PDT000289751.2
